Threat Actor,Tool,Type
MuddyWater,Meterpreter,Backdoor
MuddyWater,Meterpreter,Loader
MuddyWater,Net,Info stealer
MuddyWater,Net,Non-malicious tool
MuddyWater,Net,OS native tool
MuddyWater,Net,Reconnaissance
MuddyWater,ipconfig,OS native tool
MuddyWater,ipconfig,Reconnaissance
MuddyWater,whoami,Non-malicious tool
MuddyWater,whoami,OS native tool
MuddyWater,whoami,Reconnaissance
MuddyWater,NSIS,Loader
MuddyWater,NSIS,Non-malicious tool
APT35,mkdir,Non-malicious tool
APT35,echo,OS native tool
APT35,ifconfig,Non-malicious tool
APT35,ifconfig,OS native tool
APT35,GorjolEcho,Backdoor
APT35,GorjolEcho,Info stealer
APT35,Mach-0,Non-malicious tool
APT34,Spearal Backdoor,Backdoor
APT34,Veaty Backdoor,Backdoor
APT34,Listner Backdoor,Backdoor
APT34,RGDoor,Backdoor
APT34,RGDoor,Info stealer
APT34,mkdir,Non-malicious tool
APT34,PyInstaller,Non-malicious tool
APT34,JavaScript,Backdoor
APT34,JavaScript,Credential stealer
APT34,JavaScript,Downloader
APT34,JavaScript,Dropper
APT34,JavaScript,Exfiltration
APT34,JavaScript,Info stealer
APT34,JavaScript,Loader
APT34,JavaScript,Non-malicious tool
APT34,JavaScript,Reconnaissance
APT34,python.exe,Non-malicious tool
APT34,Flog Webshell,Web Shell
APT34,Laret,Tunneling
APT34,Pinar,Tunneling
APT34,PrimeCache,Backdoor
APT34,RDAT,Backdoor
APT34,RDAT,Tunneling
APT34,VideoSRV,Backdoor
APT34,Shahmaran,Backdoor
APT34,P.S. Olala,Loader
APT34,PsExec,Non-malicious tool
APT34,Sheep Tunneler,Tunneling
APT34,Slippery Snakelet,Backdoor
APT34,Costura,Non-malicious tool
APT34,Whisper Protocol,Dropper
ShroudedSnooper,LionTail Framework,Backdoor
ShroudedSnooper,LionTail Framework,Loader
ShroudedSnooper,BASEWALK,Backdoor
ShroudedSnooper,CRYPTOSLAY,Obfuscation
ShroudedSnooper,China Chopper,Backdoor
ShroudedSnooper,GETERQUEEN,Reconnaissance
